	System	SnomedCtCode	Equivalence	LocalCode	UZ	RU	EN			
	http://snomed-info/sct	227425007	"   source-is-narrower-than-target	"	aller-0010-00149	Anjir (Fic c)	Инжир (Fic c)	Fig (Fic c)			
	http://snomed-info/sct	102261002	"   source-is-narrower-than-target	"	aller-0010-00150	Qulupnay (Fra a 1+3)	Клубника (Fra a 1+3)	Strawberry (Fra a 1+3)			
	http://snomed-info/sct	67505008	"   source-is-narrower-than-target	"	aller-0010-00151	Olma (Mal d 1)	Яблоко (Mal d 1)	Apple (Mal d 1)			
	http://snomed-info/sct	67505008	"   source-is-narrower-than-target	"	aller-0010-00152	Olma (Mal d 2)	Яблоко (Mal d 2)	Apple (Mal d 2)			
	http://snomed-info/sct	67505008	"   source-is-narrower-than-target	"	aller-0010-00153	Olma (Mal d 3)	Яблоко (Mal d 3)	Apple (Mal d 3)			
	http://snomed-info/sct	1264563003	"   source-is-narrower-than-target	"	aller-0010-00154	Mango (Man i)	Манго (Man i)	Mango (Man i)			
	http://snomed-info/sct	256307007	"   source-is-narrower-than-target	"	aller-0010-00155	Banan (Mus a)	Банан (Mus a)	Banana (Mus a)			
	http://snomed-info/sct	735249009	"   source-is-narrower-than-target	"	aller-0010-00156	Avokado (Pers a)	Авокадо (Pers a)	Avocado (Pers a)			
	http://snomed-info/sct	735248001	"   source-is-narrower-than-target	"	aller-0010-00157	Gilos (Pru av)	Вишня (Pru av)	Cherry (Pru av)			
	http://snomed-info/sct	75618005	"   source-is-narrower-than-target	"	aller-0010-00158	Shaftoli (Pru p 3)	Персик (Pru p 3)	Peach (Pru p 3)			
	http://snomed-info/sct	735050002	"   source-is-narrower-than-target	"	aller-0010-00159	Nok (Pyr c)	Груша (Pyr c)	Pear (Pyr c)			
	http://snomed-info/sct	412061001	"   source-is-narrower-than-target	"	aller-0010-00160	Buta mevasi (chernika) (Vac m)	Черника (Vac m)	Blueberry (Vac m)			
	http://snomed-info/sct	256317002	"   source-is-narrower-than-target	"	aller-0010-00161	Uzum (Vit v 1)	Виноград (Vit v 1)	Grapes (Vit v 1)			
	http://snomed-info/sct	735047000	"   source-is-narrower-than-target	"	aller-0010-00163	Piyoz (All c)	Лук (All c)	Onion (All c)			
	http://snomed-info/sct	735030001	"   source-is-narrower-than-target	"	aller-0010-00164	Sarimsoqpiyoz (All s)	Чеснок (All s)	Garlic (All s)			
	http://snomed-info/sct	256326004	"   source-is-narrower-than-target	"	aller-0010-00165	Selderey (Api g 1)	Сельдерей (Api g 1)	Celery (Api g 1)			
	http://snomed-info/sct	256326004	"   source-is-narrower-than-target	"	aller-0010-00166	Selderey (Api g 2)	Сельдерей (Api g 2)	Celery (Api g 2)			
