Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
000153	акарбоза	acarbose	acarbosum	13201 - Решение Коллегии Евразийской экономической комиссии	
000154	аклантат	aclantate	aclantatum	13201 - Решение Коллегии Евразийской экономической комиссии	
000155	акларубицин	aclarubicin	aclarubicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000156	аклатония нападисилат	aclatonium napadisilate	aclatonii napadisilas	13201 - Решение Коллегии Евразийской экономической комиссии	
000157	аклерастид	aclerastide	aclerastidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000158	аклидиния бромид	aclidinium bromide	aclidinii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000159	акломид	aklomide	aklomidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000160	акодазол	acodazole	acodazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
000161	акоксатрин	acoxatrine	acoxatrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000162	акоксил	acoxil	acoxilum (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
000163	аколбифен	acolbifene	acolbifenum	13201 - Решение Коллегии Евразийской экономической комиссии	
000164	акониазид	aconiazide	aconiazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000165	акорафлоксацин	acorafloxacin	acorafloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000166	акотиамид	acotiamide	acotiamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000167	акреозаст	acreozast	acreozastum	13201 - Решение Коллегии Евразийской экономической комиссии	
000168	акривастин	acrivastine	acrivastinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000169	акригеллин	acrihellin	acrihellinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000170	акридорекс	acridorex	acridorexum	13201 - Решение Коллегии Евразийской экономической комиссии	
000171	акризорцин	acrisorcin	acrisorcinum	13201 - Решение Коллегии Евразийской экономической комиссии	
000172	акрифлавиния хлорид	acriflavinium chloride	acriflavinii chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
000173	акронин	acronine	acroninum	13201 - Решение Коллегии Евразийской экономической комиссии	
000174	акроцинонид	acrocinonide	acrocinonidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000175	аксалимоген филолисбак	axalimogene filolisbac	axalimogenum filolisbacum	13201 - Решение Коллегии Евразийской экономической комиссии	
000176	аксамозид	axamozide	axamozidum	13201 - Решение Коллегии Евразийской экономической комиссии	
000177	акселопран	axelopran	axelopranum	13201 - Решение Коллегии Евразийской экономической комиссии	
000178	аксетил	axetil	axetilum (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
000179	акситиниб	axitinib	axitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
000180	акситиром	axitirome	axitiromum	13201 - Решение Коллегии Евразийской экономической комиссии	
