Справочник международных непатентованных наименований лекарственных средств					
Общее количество элементов: 9347					
			https://nsi.eaeunion.org/portal/1016?searchText=&date=2025-09-08		
Количество выгруженных элементов: 9347					
Код международного непатентованного наименования лекарственного средства	Международное непатентованное наименование лекарственного средства на русском языке	Международное непатентованное наименование лекарственного средства на английском языке	Международное непатентованное наименование лекарственного средства на латинском языке	Вид акта	
005238	осутидин	osutidine	osutidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005239	отамиксабан	otamixaban	otamixabanum	13201 - Решение Коллегии Евразийской экономической комиссии	
005240	отеликсизумаб	otelixizumab	otelixizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005241	отенабант	otenabant	otenabantum	13201 - Решение Коллегии Евразийской экономической комиссии	
005242	отензепад	otenzepad	otenzepadum	13201 - Решение Коллегии Евразийской экономической комиссии	
005243	отерацил	oteracil	oteracilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005244	отесеконазол	oteseconazole	oteseconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005245	отилония бромид	otilonium bromide	otilonii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005246	отимерат натрия	otimerate sodium	otimeratum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
005247	отлертузумаб	otlertuzumab	otlertuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005248	офатумумаб	ofatumumab	ofatumumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005249	офлоксацин	ofloxacin	ofloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005250	офорнин	ofornine	oforninum	13201 - Решение Коллегии Евразийской экономической комиссии	
005251	офранерген обаденовек	ofranergene obadenovec	ofranergenum obadenovecum	13201 - Решение Коллегии Евразийской экономической комиссии	
005252	офтасцеин	oftasceine	oftasceinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005253	оцилтид	ociltide	ociltidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005254	оцинаплон	ocinaplon	ocinaplonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005255	оциноксат	octinoxate	octinoxatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005256	пагибаксимаб	pagibaximab	pagibaximabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005257	пагоклон	pagoclone	pagoclonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005258	паделипорфин	padeliporfin	padeliporfinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005259	падимат	padimate	padimatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005260	падопорфин	padoporfin	padoporfinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005261	падсевонил	padsevonil	padsevonilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005262	пазеллиптин	pazelliptine	pazelliptinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005263	пазинаклон	pazinaclone	pazinaclonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005264	пазоксид	pazoxide	pazoxidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005265	пазопаниб	pazopanib	pazopanibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005266	пазуфлоксацин	pazufloxacin	pazufloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005267	паквинимод	paquinimod	paquinimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
005268	паклитаксел	paclitaxel	paclitaxelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005269	паклитаксел полиглумекс	paclitaxel poliglumex	paclitaxelum poliglumexum	13201 - Решение Коллегии Евразийской экономической комиссии	
005270	паклитаксел треватид	paclitaxel trevatide	paclitaxelum trevatidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005271	паклитаксел церибат	paclitaxel ceribate	paclitaxelum ceribas	13201 - Решение Коллегии Евразийской экономической комиссии	
005272	пакринолол	pacrinolol	pacrinololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005273	пакритиниб	pacritinib	pacritinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005274	паксамат	paxamate	paxamatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005275	пактимиб	pactimibe	pactimibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005276	палатригин	palatrigine	palatriginum	13201 - Решение Коллегии Евразийской экономической комиссии	
005277	палбоциклиб	palbociclib	palbociclibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005278	палдимицин	paldimycin	paldimycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005279	паливизумаб	palivizumab	palivizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005280	палинавир	palinavir	palinavirum	13201 - Решение Коллегии Евразийской экономической комиссии	
005281	палиперидон	paliperidone	paliperidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005282	палироден	paliroden	palirodenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005283	палифермин	palifermin	paliferminum	13201 - Решение Коллегии Евразийской экономической комиссии	
005284	палифосфамид	palifosfamide	palifosfamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005285	палмидрол	palmidrol	palmidrolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005286	палмоксировая кислота	palmoxiric acid	acidum palmoxiricum	13201 - Решение Коллегии Евразийской экономической комиссии	
005287	паловаротен	palovarotene	palovarotenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005288	палозуран	palosuran	palosuranum	13201 - Решение Коллегии Евразийской экономической комиссии	
005289	палонидипин	palonidipine	palonidipinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005290	палоносетрон	palonosetron	palonosetronum	13201 - Решение Коллегии Евразийской экономической комиссии	
005291	палукорцел	palucorcel	palucorcelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005292	памаквесид	pamaqueside	pamaquesidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005293	памапимод	pamapimod	pamapimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
005294	паматолол	pamatolol	pamatololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005295	памахин	pamaquine	pamaquinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005296	памидроновая кислота	pamidronic acid	acidum pamidronicum	13201 - Решение Коллегии Евразийской экономической комиссии	
005297	памикогрел	pamicogrel	pamicogrelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005298	памитеплаза	pamiteplase	pamiteplasum	13201 - Решение Коллегии Евразийской экономической комиссии	
005299	Памревлумаб	pamrevlumab	pamrevlumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005300	панадиплон	panadiplon	panadiplonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005301	панамезин	panamesine	panamesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005302	панидазол	panidazole	panidazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005303	панипенем	panipenem	panipenemum	13201 - Решение Коллегии Евразийской экономической комиссии	
005304	панитумумаб	panitumumab	panitumumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005305	панкоприд	pancopride	pancopridum	13201 - Решение Коллегии Евразийской экономической комиссии	
005306	панкурония бромид	pancuronium bromide	pancuronii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005307	панобакумаб	panobacumab	panobacumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005308	панобиностат	panobinostat	panobinostatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005309	паномифен	panomifene	panomifenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005310	пантеникат	pantenicate	pantenicatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005311	пантенол	panthenol	panthenolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005312	пантопразол	pantoprazole	pantoprazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005313	панулисиб	panulisib	panulisibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005314	панурамин	panuramine	panuraminum	13201 - Решение Коллегии Евразийской экономической комиссии	
005315	папаверолин	papaveroline	papaverolinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005316	параксазон	paraxazone	paraxazonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005317	параметадион	paramethadione	paramethadionum	13201 - Решение Коллегии Евразийской экономической комиссии	
005318	параметазон	paramethasone	paramethasonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005319	парапензолата бромид	parapenzolate bromide	parapenzolati bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005320	парапропамол	parapropamol	parapropamolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005321	парарозанилина эмбонат	pararosaniline embonate	pararosanilini embonas	13201 - Решение Коллегии Евразийской экономической комиссии	
005322	паратиазин	parathiazine	parathiazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005323	паратиреоидный гормон	parathyroid hormone	hormonum parathyroidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005324	парафлутизид	paraflutizide	paraflutizidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005325	парацетамол	paracetamol	paracetamolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005326	парбендазол	parbendazole	parbendazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005327	парвахон	parvaquone	parvaquonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005328	паргеверин	pargeverine	pargeverinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005329	паргилин	pargyline	pargylinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005330	парголол	pargolol	pargololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005331	пардопрунокс	pardoprunox	pardoprunoxum	13201 - Решение Коллегии Евразийской экономической комиссии	
005332	парекоксиб	parecoxib	parecoxibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005333	парептид	pareptide	pareptidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005334	паридокаин	paridocaine	paridocainum	13201 - Решение Коллегии Евразийской экономической комиссии	
005335	парикальцитол	paricalcitol	paricalcitolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005336	паритапревир	paritaprevir	paritaprevirum	13201 - Решение Коллегии Евразийской экономической комиссии	
005337	парконазол	parconazole	parconazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005338	парнапарин натрия	parnaparin sodium	parnaparinum natricum	13201 - Решение Коллегии Евразийской экономической комиссии	
005339	парогрелил	parogrelil	parogrelilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005340	пародилол	parodilol	parodilolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005341	пароксетин	paroxetine	paroxetinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005342	пароксипропион	paroxypropione	paroxypropionum	13201 - Решение Коллегии Евразийской экономической комиссии	
005343	паромомицин	paromomycin	paromomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005344	парсалмид	parsalmide	parsalmidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005345	партрицин	partricin	partricinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005346	парцетазал	parcetasal	parcetasalum	13201 - Решение Коллегии Евразийской экономической комиссии	
005347	парэтоксикаин	parethoxycaine	parethoxycainum	13201 - Решение Коллегии Евразийской экономической комиссии	
005348	пасиниазид	pasiniazid	pasiniazidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005349	пасиреотид	pasireotide	pasireotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005350	пасколизумаб	pascolizumab	pascolizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005351	пасотуксизумаб	pasotuxizumab	pasotuxizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005352	патамостат	patamostat	patamostatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005353	патеклизумаб	pateclizumab	pateclizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005354	патидегиб	patidegib	patidegibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005355	патиромер кальция	patiromer calcium	patiromerum calcium	13201 - Решение Коллегии Евразийской экономической комиссии	
005356	патисиран	patisiran	patisiranum	13201 - Решение Коллегии Евразийской экономической комиссии	
005357	патритумаб	patritumab	patritumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005358	патупилон	patupilone	patupilonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005359	пауломицин	paulomycin	paulomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005360	пафенолол	pafenolol	pafenololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005361	пафурамидин	pafuramidine	pafuramidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005362	певонедистат	pevonedistat	pevonedistatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005363	пеказин	pecazine	pecazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005364	пекоциклин	pecocycline	pecocyclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005365	пексантел	pexantel	pexantelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005366	пексастимоген девацирепвек	pexastimogene devacirepvec	pexastimogenum devacirepvecum	13201 - Решение Коллегии Евразийской экономической комиссии	
005367	пексацерфонт	pexacerfont	pexacerfontum	13201 - Решение Коллегии Евразийской экономической комиссии	
005368	пекселизумаб	pexelizumab	pexelizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005369	пексиганан	pexiganan	pexigananum	13201 - Решение Коллегии Евразийской экономической комиссии	
005370	пексидартиниб	pexidartinib	pexidartinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005371	пексметиниб	pexmetinib	pexmetinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005372	пелансерин	pelanserin	pelanserinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005373	пелдезин	peldesine	peldesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005374	пелиглитазар	peliglitazar	peliglitazarum	13201 - Решение Коллегии Евразийской экономической комиссии	
005375	пелиомицин	peliomycin	peliomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005376	пелитиниб	pelitinib	pelitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005377	пелитрексол	pelitrexol	pelitrexolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005378	пелретин	pelretin	pelretinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005379	пелринон	pelrinone	pelrinonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005380	пелубипрофен	pelubiprofen	pelubiprofenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005381	пемаглитазар	pemaglitazar	pemaglitazarum	13201 - Решение Коллегии Евразийской экономической комиссии	
005382	Пемафибрат	pemafibrate	pemafibratum	13201 - Решение Коллегии Евразийской экономической комиссии	
005383	пембролизумаб	pembrolizumab	pembrolizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005384	пемедолак	pemedolac	pemedolacum	13201 - Решение Коллегии Евразийской экономической комиссии	
005385	пемерид	pemerid	pemeridum	13201 - Решение Коллегии Евразийской экономической комиссии	
005386	пеметрексед	pemetrexed	pemetrexedum	13201 - Решение Коллегии Евразийской экономической комиссии	
005387	пемироласт	pemirolast	pemirolastum	13201 - Решение Коллегии Евразийской экономической комиссии	
005388	пемолин	pemoline	pemolinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005389	пемпидин	pempidine	pempidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005390	пенамециллин	penamecillin	penamecillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005391	пенбутолол	penbutolol	penbutololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005392	пенгитоксин	pengitoxin	pengitoxinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005393	пендекамаин	pendecamaine	pendecamainum	13201 - Решение Коллегии Евразийской экономической комиссии	
005394	пендетид	pendetide	pendetidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005395	пенимепициклин	penimepicycline	penimepicyclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005396	пенимоциклин	penimocycline	penimocyclinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005397	пениролол	penirolol	penirololum	13201 - Решение Коллегии Евразийской экономической комиссии	
005398	пеницилламин	penicillamine	penicillaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
005399	пенициллиназа	penicillinase	penicillinasum	13201 - Решение Коллегии Евразийской экономической комиссии	
005400	пенместерол	penmesterol	penmesterolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005401	пеноктония бромид	penoctonium bromide	penoctonii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005402	пенпростен	penprostene	penprostenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005403	пентабамат	pentabamate	pentabamatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005404	пентагастрин	pentagastrin	pentagastrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005405	пентагестрон	pentagestrone	pentagestronum	13201 - Решение Коллегии Евразийской экономической комиссии	
005406	пентазоцин	pentazocine	pentazocinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005407	пенталамид	pentalamide	pentalamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005408	пентаметония бромид	pentamethonium bromide	pentamethonii bromidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005409	пентамидин	pentamidine	pentamidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005410	пентамоксан	pentamoxane	pentamoxanum	13201 - Решение Коллегии Евразийской экономической комиссии	
005411	пентаморфон	pentamorphone	pentamorphonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005412	пентапиперид	pentapiperide	pentapiperidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005413	пентапиперия метилсульфат	pentapiperium metilsulfate	pentapiperii metilsulfas	13201 - Решение Коллегии Евразийской экономической комиссии	
005414	пентафлуранол	pentafluranol	pentafluranolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005415	пентахин	pentaquine	pentaquinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005416	пентациния хлорид	pentacynium chloride	pentacynii chloridum	13201 - Решение Коллегии Евразийской экономической комиссии	
005417	пентаэритритила тетранитрат	pentaerithrityl tetranitrate	pentaerithrityli tetranitras	13201 - Решение Коллегии Евразийской экономической комиссии	
005418	пентексил	pentexil	pentexilum (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
005419	пентетовая кислота	pentetic acid	acidum penteticum	13201 - Решение Коллегии Евразийской экономической комиссии	
005420	пентетразол	pentetrazol	pentetrazolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005421	пентетреотид	pentetreotide	pentetreotidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005422	пентиапин	pentiapine	pentiapinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005423	пентигетид	pentigetide	pentigetidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005424	пентизидон	pentizidone	pentizidonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005425	пентизомид	pentisomide	pentisomidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005426	пентизомицин	pentisomicin	pentisomicinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005427	пентифиллин	pentifylline	pentifyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005428	пентобарбитал	pentobarbital	pentobarbitalum	13201 - Решение Коллегии Евразийской экономической комиссии	
005429	пентозана полисульфат натрия	pentosan polysulfate sodium	natrii pentosani polysulfas	13201 - Решение Коллегии Евразийской экономической комиссии	
005430	пентоксиверин	pentoxyverine	pentoxyverinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005431	пентоксифиллин	pentoxifylline	pentoxifyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005432	пентолония тартрат	pentolonium tartrate	pentolonii tartras	13201 - Решение Коллегии Евразийской экономической комиссии	
005433	пентомон	pentomone	pentomonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005434	пентоприл	pentopril	pentoprilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005435	пенторекс	pentorex	pentorexum	13201 - Решение Коллегии Евразийской экономической комиссии	
005436	пентостатин	pentostatin	pentostatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005437	пентринитрол	pentrinitrol	pentrinitrolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005438	пентрихлорал	penthrichloral	penthrichloralum	13201 - Решение Коллегии Евразийской экономической комиссии	
005439	пенфлуридол	penfluridol	penfluridolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005440	пенфлутизид	penflutizide	penflutizidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005441	пенцикловир	penciclovir	penciclovirum	13201 - Решение Коллегии Евразийской экономической комиссии	
005442	пепломицин	peplomycin	peplomycinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005443	пепстатин	pepstatin	pepstatinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005444	перадоксим	peradoxime	peradoximum	13201 - Решение Коллегии Евразийской экономической комиссии	
005445	парсатузумаб	parsatuzumab	parsatuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005446	перакизумаб	perakizumab	perakizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005447	пераклопон	peraclopone	peracloponum	13201 - Решение Коллегии Евразийской экономической комиссии	
005448	пералоприд	peralopride	peralopridum	13201 - Решение Коллегии Евразийской экономической комиссии	
005449	перамивир	peramivir	peramivirum	13201 - Решение Коллегии Евразийской экономической комиссии	
005450	перампанел	perampanel	perampanelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005451	перастин	perastine	perastinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005452	ператизол	peratizole	peratizolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005453	перафензин	perafensine	perafensinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005454	перахинзин	peraquinsin	peraquinsinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005455	пербуфиллин	perbufylline	perbufyllinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005456	пергексиллин	perhexiline	perhexilinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005457	перголид	pergolide	pergolidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005458	перетиноин	peretinoin	peretinoinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005459	перзинфотел	perzinfotel	perzinfotelum	13201 - Решение Коллегии Евразийской экономической комиссии	
005460	перизоксал	perisoxal	perisoxalum	13201 - Решение Коллегии Евразийской экономической комиссии	
005461	периметазин	perimetazine	perimetazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005462	периндоприл	perindopril	perindoprilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005463	периндоприлат	perindoprilat	perindoprilatum	13201 - Решение Коллегии Евразийской экономической комиссии	
005464	перифозин	perifosine	perifosinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005465	перициазин	periciazine	periciazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005466	перлапин	perlapine	perlapinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005467	перметрин	permethrin	permethrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005468	пероспирон	perospirone	perospironum	13201 - Решение Коллегии Евразийской экономической комиссии	
005469	персиловая кислота	persilic acid	acidum persilicum	13201 - Решение Коллегии Евразийской экономической комиссии	
005470	пертузумаб	pertuzumab	pertuzumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005471	перфеназин	perphenazine	perphenazinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005472	перфлексан	perflexane	perflexanum	13201 - Решение Коллегии Евразийской экономической комиссии	
005473	перфленапент	perflenapent	perflenapentum	13201 - Решение Коллегии Евразийской экономической комиссии	
005474	перфлизобутан	perflisobutane	perflisobutanum	13201 - Решение Коллегии Евразийской экономической комиссии	
005475	перфлизопент	perflisopent	perflisopentum	13201 - Решение Коллегии Евразийской экономической комиссии	
005476	перфлуамин	perfluamine	perfluaminum	13201 - Решение Коллегии Евразийской экономической комиссии	
005477	перфлубродек	perflubrodec	perflubrodecum	13201 - Решение Коллегии Евразийской экономической комиссии	
005478	перфлуброн	perflubron	perflubronum	13201 - Решение Коллегии Евразийской экономической комиссии	
005479	перфлубутан	perflubutane	perflubutanum	13201 - Решение Коллегии Евразийской экономической комиссии	
005480	перфлунафен	perflunafene	perflunafenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005481	перфлутрен	perflutren	perflutrenum	13201 - Решение Коллегии Евразийской экономической комиссии	
005482	перфомедил	perfomedil	perfomedilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005483	перфосфамид	perfosfamide	perfosfamidum	13201 - Решение Коллегии Евразийской экономической комиссии	
005484	петидин	pethidine	pethidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005485	петрихлорал	petrichloral	petrichloralum	13201 - Решение Коллегии Евразийской экономической комиссии	
005486	пефицитиниб	peficitinib	peficitinibum	13201 - Решение Коллегии Евразийской экономической комиссии	
005487	пефкальцитол	pefcalcitol	pefcalcitolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005488	пефлоксацин	pefloxacin	pefloxacinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005489	пефорелин	peforelin	peforelinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005490	пецилоцин	pecilocin	pecilocinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005491	пибаксизин	pibaxizine	pibaxizinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005492	пибекарб	pibecarb	pibecarbum	13201 - Решение Коллегии Евразийской экономической комиссии	
005493	пибералин	piberaline	piberalinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005494	пибосерод	piboserod	piboserodum	13201 - Решение Коллегии Евразийской экономической комиссии	
005495	пибрентасвир	pibrentasvir	pibrentasvirum	13201 - Решение Коллегии Евразийской экономической комиссии	
005496	пиброзелезин	pibrozelesin	pibrozelesinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005497	пибутидин	pibutidine	pibutidinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005498	пивагабин	pivagabine	pivagabinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005499	пивалат	pivalate	pivalas (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
005500	пивампициллин	pivampicillin	pivampicillinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005501	пивенфрин	pivenfrine	pivenfrinum	13201 - Решение Коллегии Евразийской экономической комиссии	
005502	пивмециллинам	pivmecillinam	pivmecillinamum	13201 - Решение Коллегии Евразийской экономической комиссии	
005503	пивоксазепам	pivoxazepam	pivoxazepamum	13201 - Решение Коллегии Евразийской экономической комиссии	
005504	пивоксетил	pivoxetil	pivoxetilum (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
005505	пивоксил	pivoxil	pivoxil (R)	13201 - Решение Коллегии Евразийской экономической комиссии	
005506	пивоприл	pivopril	pivoprilum	13201 - Решение Коллегии Евразийской экономической комиссии	
005507	пидилизумаб	pidilizumab	pidilizumabum	13201 - Решение Коллегии Евразийской экономической комиссии	
005508	пидобензон	pidobenzone	pidobenzonum	13201 - Решение Коллегии Евразийской экономической комиссии	
005509	пидолацетамол	pidolacetamol	pidolacetamolum	13201 - Решение Коллегии Евразийской экономической комиссии	
005510	пидоловая кислота	pidolic acid	acidum pidolicum	13201 - Решение Коллегии Евразийской экономической комиссии	
005511	пидотимод	pidotimod	pidotimodum	13201 - Решение Коллегии Евразийской экономической комиссии	
